,Adina - Winsome Resources - Eeyou Istchee Region,Caber Complex - Nuvau Minerals - Matagami,Hopes Advance - Oceanic Iron Ore Corporation - Aupaluk (Nunavik),Kwyjibo - SOQUEM - Eeyou Istchee Region,Lac Knife - Focus Graphite - Fermont,Lac Otelnuk - MetalQuest Mining - Naskapi First Nation of Kawawachikamach,Lac Scott - Yorbeau Resources - Chibougamau,Matawinie - Nouveau Monde Graphite - Matawinie,Perron - Amex Exploration - Norm√©tal,Troilus - Troilus Gold Corporation - Mistissini,Detour Lake - Agnico Eagle Mines Ltd. - Cochrane District,Hoyle Pond - Discovery Silver Corp. - Timmins,"Greenstone - Equinox Gold Corp, Greenstone Gold Mines LP - Geraldton",Kenbridge - Tartisan Nickel Corp. - Fisher lake - Kenora,Macassa - Agnico Eagle Mines Ltd. - Kirkland Lake,Magino - Alamos Gold Inc. - Dubreuilville,Musselwhite - Orla Mining Ltd. - Kenora,Pardo Paleoplacer - Inventus Mining Corp. - Sudbury,Penhorwood - Magris Talc Canada Inc. - Timmins,Thierry - XXIX Metal Corp. - Sudbury,Distribution CenterMontreal - Saint-Laurent,Facility 1 Chibougamau,Facility 2 Trois-Rivière,Facility 3 Schefferville,Facility 4 Red Lake,Facility 5 Sudbury
Adina - Winsome Resources - Eeyou Istchee Region,0,436.054091,826.5997217,0,756.5869746,763.827716,497.7666474,907.6161348,522.8202116,473.3780404,543.8517433,612.5407505,738.4868294,1144.107064,623.049736,732.7679574,823.360022,800.6005324,612.5407505,800.6005324,966.5237033,497.7666474,903.6249613,761.1129916,1093.119137,800.6005324
Caber Complex - Nuvau Minerals - Matagami,436.054091,0,1180.666617,436.054091,808.5531882,932.4851957,234.9054926,504.2623025,151.667223,259.1930407,258.6022897,305.4309462,672.01231,1147.115492,250.5305352,529.1155835,880.9686313,419.8623701,305.4309462,419.8623701,556.8128993,234.9054926,654.7403969,925.1284872,1158.09493,419.8623701
Hopes Advance - Oceanic Iron Ore Corporation - Aupaluk (Nunavik),826.5997217,1180.666617,0,826.5997217,740.756286,519.0745238,1088.826611,1500.794252,1309.271,1043.293701,1358.029228,1425.779166,1540.792185,1877.073038,1415.06208,1559.143729,1554.76926,1593.285998,1425.779166,1593.285998,1563.112363,1088.826611,1258.518894,528.8726783,1783.284608,1593.285998
Kwyjibo - SOQUEM - Eeyou Istchee Region,0,436.054091,826.5997217,0,756.5869746,763.827716,497.7666474,907.6161348,522.8202116,473.3780404,543.8517433,612.5407505,738.4868294,1144.107064,623.049736,732.7679574,823.360022,800.6005324,612.5407505,800.6005324,966.5237033,497.7666474,903.6249613,761.1129916,1093.119137,800.6005324
Lac Knife - Focus Graphite - Fermont,756.5869746,808.5531882,740.756286,756.5869746,0,234.4582512,599.951215,892.2232642,959.8231766,560.7768299,1062.383761,1113.791861,1423.593941,1873.158392,1051.904145,1327.847857,1563.16511,1199.979046,1113.791861,1199.979046,947.7975205,599.951215,552.8339646,223.5193821,1839.939827,1199.979046
Lac Otelnuk - MetalQuest Mining - Naskapi First Nation of Kawawachikamach,763.827716,932.4851957,519.0745238,763.827716,234.4582512,0,756.509287,1100.264699,1082.653991,712.1918284,1170.618777,1229.407296,1484.293271,1907.62242,1182.826418,1423.115047,1587.116341,1345.078907,1229.407296,1345.078907,1158.584667,756.509287,784.1495914,10.96906928,1854.600898,1345.078907
Lac Scott - Yorbeau Resources - Chibougamau,497.7666474,234.9054926,1088.826611,497.7666474,599.951215,756.509287,0,432.5497902,375.7871468,46.20071051,491.3898302,531.5300157,904.9152963,1378.72311,457.6317529,761.9727341,1103.172451,600.0280277,531.5300157,600.0280277,494.9396222,0,440.5508363,747.7746395,1382.700414,600.0280277
Matawinie - Nouveau Monde Graphite - Matawinie,907.6161348,504.2623025,1500.794252,907.6161348,892.2232642,1100.264699,432.5497902,0,534.7789377,472.9584528,641.9733029,633.9026452,1067.151811,1528.672379,531.1718016,856.4409687,1316.428164,545.6650327,633.9026452,545.6650327,62.8521971,432.5497902,414.3992269,1089.988189,1576.448273,545.6650327
Perron - Amex Exploration - Norm√©tal,522.8202116,151.667223,1309.271,522.8202116,959.8231766,1082.653991,375.7871468,534.7789377,0,405.8004883,122.1771741,155.930512,557.3813642,1032.384363,105.9175513,388.5054165,789.84657,284.2474238,155.930512,284.2474238,575.8911211,375.7871468,765.5464253,1075.467354,1059.210684,284.2474238
Troilus - Troilus Gold Corporation - Mistissini,473.3780404,259.1930407,1043.293701,473.3780404,560.7768299,712.1918284,46.20071051,472.9584528,405.8004883,0,517.7514132,561.6744223,922.1680235,1393.883621,492.5278347,788.3085661,1112.260484,640.1122901,561.6744223,640.1122901,535.6318432,46.20071051,445.2454163,703.579473,1392.616776,640.1122901
Detour Lake - Agnico Eagle Mines Ltd. - Cochrane District,543.8517433,258.6022897,1358.029228,543.8517433,1062.383761,1170.618777,491.3898302,641.9733029,122.1771741,517.7514132,0,68.68924676,436.407753,910.7044808,124.911975,270.6954537,675.2398562,271.2770493,68.68924676,271.2770493,677.9134196,491.3898302,887.720929,1164.079041,940.9379034,271.2770493
Hoyle Pond - Discovery Silver Corp. - Timmins,612.5407505,305.4309462,1425.779166,612.5407505,1113.791861,1229.407296,531.5300157,633.9026452,155.930512,561.6744223,68.68924676,0,433.362473,900.5287017,102.8412082,238.4472472,685.6321234,209.6712976,0,209.6712976,664.3016174,531.5300157,908.8153222,1222.605896,942.5497122,209.6712976
"Greenstone - Equinox Gold Corp, Greenstone Gold Mines LP - Geraldton",738.4868294,672.01231,1540.792185,738.4868294,1423.593941,1484.293271,904.9152963,1067.151811,557.3813642,922.1680235,436.407753,433.362473,0,475.939287,536.196889,233.0030042,268.0752872,573.0086613,433.362473,573.0086613,1095.938829,904.9152963,1320.708838,1479.952891,509.4371594,573.0086613
Kenbridge - Tartisan Nickel Corp. - Fisher lake - Kenora,1144.107064,1147.115492,1877.073038,1144.107064,1873.158392,1907.62242,1378.72311,1528.672379,1032.384363,1393.883621,910.7044808,900.5287017,475.939287,0,1002.551534,672.389227,325.2408324,1003.392303,900.5287017,1003.392303,1551.810483,1378.72311,1796.596014,1904.626775,162.3191258,1003.392303
Macassa - Agnico Eagle Mines Ltd. - Kirkland Lake,623.049736,250.5305352,1415.06208,623.049736,1051.904145,1182.826418,457.6317529,531.1718016,105.9175513,492.5278347,124.911975,102.8412082,536.196889,1002.551534,0,335.9264594,787.0335944,179.0945938,102.8412082,179.0945938,562.4446075,457.6317529,813.7760493,1175.386452,1045.324667,179.0945938
