Run_ID,Demand_Label,Demand_Mult,Alpha,Holding_Rate,Penalty_Factor
0,Base,1.0,0.95,0.25,0.3
1,Base,1.0,0.95,0.25,0.25
2,Base,1.0,0.95,0.25,0.2
3,Base,1.0,0.95,0.2,0.3
4,Base,1.0,0.95,0.2,0.25
5,Base,1.0,0.95,0.2,0.2
6,Base,1.0,0.95,0.15,0.3
7,Base,1.0,0.95,0.15,0.25
8,Base,1.0,0.95,0.15,0.2
9,Base,1.0,0.9,0.25,0.3
10,Base,1.0,0.9,0.25,0.25
11,Base,1.0,0.9,0.25,0.2
12,Base,1.0,0.9,0.2,0.3
13,Base,1.0,0.9,0.2,0.25
14,Base,1.0,0.9,0.2,0.2
15,Base,1.0,0.9,0.15,0.3
16,Base,1.0,0.9,0.15,0.25
17,Base,1.0,0.9,0.15,0.2
18,Base,1.0,0.85,0.25,0.3
19,Base,1.0,0.85,0.25,0.25
20,Base,1.0,0.85,0.25,0.2
21,Base,1.0,0.85,0.2,0.3
22,Base,1.0,0.85,0.2,0.25
23,Base,1.0,0.85,0.2,0.2
24,Base,1.0,0.85,0.15,0.3
25,Base,1.0,0.85,0.15,0.25
26,Base,1.0,0.85,0.15,0.2
27,High_5pct,1.05,0.95,0.25,0.3
28,High_5pct,1.05,0.95,0.25,0.25
29,High_5pct,1.05,0.95,0.25,0.2
30,High_5pct,1.05,0.95,0.2,0.3
31,High_5pct,1.05,0.95,0.2,0.25
32,High_5pct,1.05,0.95,0.2,0.2
33,High_5pct,1.05,0.95,0.15,0.3
34,High_5pct,1.05,0.95,0.15,0.25
35,High_5pct,1.05,0.95,0.15,0.2
36,High_5pct,1.05,0.9,0.25,0.3
37,High_5pct,1.05,0.9,0.25,0.25
38,High_5pct,1.05,0.9,0.25,0.2
39,High_5pct,1.05,0.9,0.2,0.3
40,High_5pct,1.05,0.9,0.2,0.25
41,High_5pct,1.05,0.9,0.2,0.2
42,High_5pct,1.05,0.9,0.15,0.3
43,High_5pct,1.05,0.9,0.15,0.25
44,High_5pct,1.05,0.9,0.15,0.2
45,High_5pct,1.05,0.85,0.25,0.3
46,High_5pct,1.05,0.85,0.25,0.25
47,High_5pct,1.05,0.85,0.25,0.2
48,High_5pct,1.05,0.85,0.2,0.3
49,High_5pct,1.05,0.85,0.2,0.25
50,High_5pct,1.05,0.85,0.2,0.2
51,High_5pct,1.05,0.85,0.15,0.3
52,High_5pct,1.05,0.85,0.15,0.25
53,High_5pct,1.05,0.85,0.15,0.2
54,Low_5pct,0.95,0.95,0.25,0.3
55,Low_5pct,0.95,0.95,0.25,0.25
56,Low_5pct,0.95,0.95,0.25,0.2
57,Low_5pct,0.95,0.95,0.2,0.3
58,Low_5pct,0.95,0.95,0.2,0.25
59,Low_5pct,0.95,0.95,0.2,0.2
60,Low_5pct,0.95,0.95,0.15,0.3
61,Low_5pct,0.95,0.95,0.15,0.25
62,Low_5pct,0.95,0.95,0.15,0.2
63,Low_5pct,0.95,0.9,0.25,0.3
64,Low_5pct,0.95,0.9,0.25,0.25
65,Low_5pct,0.95,0.9,0.25,0.2
66,Low_5pct,0.95,0.9,0.2,0.3
67,Low_5pct,0.95,0.9,0.2,0.25
68,Low_5pct,0.95,0.9,0.2,0.2
69,Low_5pct,0.95,0.9,0.15,0.3
70,Low_5pct,0.95,0.9,0.15,0.25
71,Low_5pct,0.95,0.9,0.15,0.2
72,Low_5pct,0.95,0.85,0.25,0.3
73,Low_5pct,0.95,0.85,0.25,0.25
74,Low_5pct,0.95,0.85,0.25,0.2
75,Low_5pct,0.95,0.85,0.2,0.3
76,Low_5pct,0.95,0.85,0.2,0.25
77,Low_5pct,0.95,0.85,0.2,0.2
78,Low_5pct,0.95,0.85,0.15,0.3
79,Low_5pct,0.95,0.85,0.15,0.25
80,Low_5pct,0.95,0.85,0.15,0.2
