Stock_Level_s,Service_Level_alpha,Max_Lambda_Capacity
0,0.5,0.0
0,0.51,0.0
0,0.52,0.0
0,0.53,0.0
0,0.54,0.0
0,0.55,0.0
0,0.56,0.0
0,0.57,0.0
0,0.58,0.0
0,0.59,0.0
0,0.6,0.0
0,0.61,0.0
0,0.62,0.0
0,0.63,0.0
0,0.64,0.0
0,0.65,0.0
0,0.66,0.0
0,0.67,0.0
0,0.68,0.0
0,0.69,0.0
0,0.7,0.0
0,0.71,0.0
0,0.72,0.0
0,0.73,0.0
0,0.74,0.0
0,0.75,0.0
0,0.76,0.0
0,0.77,0.0
0,0.78,0.0
0,0.79,0.0
0,0.8,0.0
0,0.81,0.0
0,0.82,0.0
0,0.83,0.0
0,0.84,0.0
0,0.85,0.0
0,0.86,0.0
0,0.87,0.0
0,0.88,0.0
0,0.89,0.0
0,0.9,0.0
0,0.91,0.0
0,0.92,0.0
0,0.93,0.0
0,0.94,0.0
0,0.95,0.0
0,0.96,0.0
0,0.97,0.0
0,0.98,0.0
0,0.99,0.0
1,0.5,0.6931471805595385
1,0.51,0.6733445532637659
1,0.52,0.653926467406664
1,0.53,0.6348782724359697
1,0.54,0.6161861394238171
1,0.55,0.5978370007556203
1,0.56,0.579818495252942
1,0.57,0.5621189181535411
1,0.58,0.5447271754416722
1,0.59,0.5276327420823718
1,0.6,0.5108256237659908
1,0.61,0.4942963218147802
1,0.62,0.4780358009429998
1,0.63,0.462035459596559
1,0.64,0.44628710262841964
1,0.65,0.43078291609245406
1,0.66,0.4155154439616656
1,0.67,0.40047756659712486
1,0.68,0.38566248081198307
1,0.69,0.3710636813908291
1,0.7,0.3566749439387262
1,0.71,0.3424903089467629
1,0.72,0.32850406697200923
1,0.73,0.3147107448396459
1,0.74,0.30110509278392134
1,0.75,0.28768207245178007
1,0.76,0.27443684570175797
1,0.77,0.2613647641344012
1,0.78,0.2484613592984848
1,0.79,0.2357223335210361
1,0.8,0.22314355131413652
1,0.81,0.2107210313155005
1,0.82,0.19845093872353417
1,0.83,0.1863295781914935
1,0.84,0.1743533871447778
1,0.85,0.16251892949777494
1,0.86,0.15082288973458366
1,0.87,0.13926206733350763
1,0.88,0.127833371509885
1,0.89,0.11653381625595151
1,0.9,0.10536051565782635
1,0.91,0.09431067947124129
1,0.92,0.08338160893905108
1,0.93,0.07257069283483532
1,0.94,0.06187540371808742
1,0.95,0.0512932943875503
1,0.96,0.040821994520254444
1,0.97,0.030459207484706954
1,0.98,0.02020270731751942
1,0.99,0.01005033585350148
2,0.5,1.678346990016661
2,0.51,1.6466327096746576
2,0.52,1.6153085505097122
2,0.53,1.5843537485990729
2,0.54,1.553748367199732
2,0.55,1.5234732121364176
2,0.56,1.4935097523637184
2,0.57,1.463840044858077
2,0.58,1.4344466630533652
2,0.59,1.405312628076007
2,0.6,1.3764213420628844
2,0.61,1.3477565228577857
2,0.62,1.3193021393797255
2,0.63,1.291042346938209
2,0.64,1.2629614217350722
2,0.65,1.2350436937376534
2,0.66,1.2072734770307312
2,0.67,1.1796349966506297
2,0.68,1.1521123107685798
2,0.69,1.1246892269141553
2,0.7,1.097349210703492
2,0.71,1.0700752852474522
2,0.72,1.0428499190440477
2,0.73,1.0156548996828696
2,0.74,0.9884711900740367
2,0.75,0.9612787631147901
2,0.76,0.9340564096602918
2,0.77,0.9067815132836963
2,0.78,0.8794297834672097
2,0.79,0.8519749363829211
2,0.8,0.8243883090329847
2,0.81,0.7966383878352653
2,0.82,0.7686902261715791
2,0.83,0.7405047160549902
2,0.84,0.7120376654963476
2,0.85,0.683238613070949
2,0.86,0.65404928083456
2,0.87,0.6244015197221335
2,0.88,0.594214526698255
2,0.89,0.5633909898972496
2,0.9,0.5318116083896117
2,0.91,0.49932706074973754
2,0.92,0.46574580116405445
2,0.93,0.4308146839168167
2,0.94,0.3941864814988246
2,0.95,0.35536151069866223
2,0.96,0.3135725803526839
2,0.97,0.26752683661766574
2,0.98,0.2146990950081574
2,0.99,0.14855474025326604
3,0.5,2.6740603137235595
3,0.51,2.633710639195852
3,0.52,2.5937489431519096
3,0.53,2.554149494023774
3,0.54,2.514887360018841
3,0.55,2.475938303169479
3,0.56,2.4372786779963063
3,0.57,2.3988853336865557
3,0.58,2.3607355187288928
3,0.59,2.3228067869637137
3,0.6,2.2850769040033807
3,0.61,2.2475237529489895
3,0.62,2.2101252382773247
3,0.63,2.1728591866907396
3,0.64,2.1357032436097656
3,0.65,2.0986347638376643
3,0.66,2.0616306947304803
3,0.67,2.024667449955474
3,0.68,1.9877207716020067
3,0.69,1.9507655780048085
